time_ps,mindist_nm
44920.0,0.2325189
44930.0,0.2525908
44940.0,0.2329575
44950.0,0.2587063
44960.0,0.2625835
44970.0,0.2510333
44980.0,0.2474635
44990.0,0.2170023
45000.0,0.2399189
45010.0,0.2540182
45020.0,0.2419153
45030.0,0.2213098
45040.0,0.2499977
45050.0,0.2645826
45060.0,0.2550882
45070.0,0.1999847
45080.0,0.1877659
45090.0,0.2104782
45100.0,0.2193836
45110.0,0.1867323
45120.0,0.2068551
45130.0,0.184884
45140.0,0.233086
45150.0,0.1822988
45160.0,0.19146
45170.0,0.1893385
45180.0,0.2076007
45190.0,0.2023488
45200.0,0.2013502
45210.0,0.2043793
45220.0,0.189222
45230.0,0.2139111
45240.0,0.2031623
45250.0,0.2206419
45260.0,0.184198
45270.0,0.1863118
45280.0,0.1868611
45290.0,0.2413089
45300.0,0.2226318
45310.0,0.1836655
45320.0,0.2093823
45330.0,0.192554
45340.0,0.2256568
45350.0,0.1897392
45360.0,0.22147
45370.0,0.2041914
45380.0,0.1812761
45390.0,0.1862334
45400.0,0.1906829
45410.0,0.1847104
45420.0,0.2351679
45430.0,0.2184147
45440.0,0.2426537
45450.0,0.2414746
45460.0,0.2028449
45470.0,0.1947919
45480.0,0.2486647
45490.0,0.2092965
45500.0,0.2655585
45510.0,0.2433522
45520.0,0.2247978
45530.0,0.24615
45540.0,0.2606321
45550.0,0.2500018
45560.0,0.2249314
45570.0,0.2666698
45580.0,0.2499238
45590.0,0.2669698
45600.0,0.2376543
45610.0,0.2566437
45620.0,0.2466436
45630.0,0.2369532
45640.0,0.2601388
45650.0,0.1864724
45660.0,0.2447734
45670.0,0.2650925
45680.0,0.2478508
45690.0,0.2610779
45700.0,0.2544738
45710.0,0.2638637
45720.0,0.2559257
45730.0,0.2729869
45740.0,0.2555529
45750.0,0.252099
45760.0,0.2443544
45770.0,0.252149
45780.0,0.2502316
45790.0,0.2282303
45800.0,0.2662441
45810.0,0.2518677
45820.0,0.2557339
45830.0,0.2446188
45840.0,0.2321915
45850.0,0.2619711
45860.0,0.2496417
45870.0,0.2441152
45880.0,0.254435
45890.0,0.2571967
45900.0,0.259432
